,feature,value,model,dataset
4692,ENSG00000122641,3.288234161461752,cBoost,Imputed
308,ENSG00000013810,3.178276920747244,cBoost,Imputed
13614,ENSG00000196091,2.664335788091643,cBoost,Imputed
11761,ENSG00000175063,2.647355862602999,cBoost,Imputed
13228,ENSG00000186340,2.4660467465611062,cBoost,Imputed
10662,ENSG00000168397,2.323739399682735,cBoost,Imputed
2348,ENSG00000101997,2.245596822333893,cBoost,Imputed
3637,ENSG00000112699,2.1954333426952655,cBoost,Imputed
8225,ENSG00000151725,2.1941483009009857,cBoost,Imputed
7737,ENSG00000146674,2.1545131687647094,cBoost,Imputed
12633,ENSG00000182492,2.0028327918912048,cBoost,Imputed
3669,ENSG00000112984,1.8131751752342562,cBoost,Imputed
7922,ENSG00000148358,1.742012570800971,cBoost,Imputed
1589,ENSG00000087586,1.7064776085218758,cBoost,Imputed
8495,ENSG00000154330,1.6852451833954725,cBoost,Imputed
5683,ENSG00000131747,1.672165204569744,cBoost,Imputed
12707,ENSG00000182983,1.5441493484440365,cBoost,Imputed
8198,ENSG00000151503,1.3287940074140627,cBoost,Imputed
15190,ENSG00000263639,1.241785226787986,cBoost,Imputed
874,ENSG00000066135,1.1897294263971858,cBoost,Imputed
13144,ENSG00000185808,1.1518062581197406,cBoost,Imputed
2338,ENSG00000101938,1.0954098972380841,cBoost,Imputed
625,ENSG00000051341,1.0763942059230682,cBoost,Imputed
10738,ENSG00000168811,1.0643363977573694,cBoost,Imputed
8743,ENSG00000156970,1.048303010299433,cBoost,Imputed
3515,ENSG00000111845,1.0297507820879048,cBoost,Imputed
1553,ENSG00000086991,0.9805624765431538,cBoost,Imputed
14435,ENSG00000205364,0.9659295124054986,cBoost,Imputed
3716,ENSG00000113448,0.9527800561099361,cBoost,Imputed
13842,ENSG00000197208,0.9055510659725967,cBoost,Imputed
10180,ENSG00000166105,0.884306980164439,cBoost,Imputed
3453,ENSG00000111445,0.8441701939700245,cBoost,Imputed
9194,ENSG00000161381,0.8208868898056854,cBoost,Imputed
10515,ENSG00000167700,0.817790102128666,cBoost,Imputed
1427,ENSG00000082556,0.8170640597342476,cBoost,Imputed
4308,ENSG00000118655,0.7975273226085682,cBoost,Imputed
14981,ENSG00000243649,0.7902859512468076,cBoost,Imputed
3166,ENSG00000108592,0.7805014367477863,cBoost,Imputed
6205,ENSG00000135476,0.7796124166691839,cBoost,Imputed
1074,ENSG00000072133,0.7715314885252894,cBoost,Imputed
2623,ENSG00000104435,0.7700307888379404,cBoost,Imputed
7621,ENSG00000145721,0.7601149272126362,cBoost,Imputed
2981,ENSG00000106723,0.7514324541786763,cBoost,Imputed
12702,ENSG00000182957,0.7394928402733154,cBoost,Imputed
1424,ENSG00000082512,0.7077099010454291,cBoost,Imputed
10271,ENSG00000166439,0.7030291382092944,cBoost,Imputed
15142,ENSG00000258947,0.6351510786684833,cBoost,Imputed
10907,ENSG00000169750,0.628535837515257,cBoost,Imputed
9220,ENSG00000161791,0.6162768336426883,cBoost,Imputed
11756,ENSG00000174996,0.6041135204296665,cBoost,Imputed
4110,ENSG00000116745,0.5899072516326719,cBoost,Imputed
4931,ENSG00000124721,0.5889780707384601,cBoost,Imputed
11002,ENSG00000170310,0.5825335738052073,cBoost,Imputed
8065,ENSG00000149679,0.5810274188406126,cBoost,Imputed
6168,ENSG00000135318,0.5690530343178515,cBoost,Imputed
7012,ENSG00000140678,0.5648492980667555,cBoost,Imputed
14947,ENSG00000242173,0.5604310170707641,cBoost,Imputed
13450,ENSG00000188177,0.5572235063199747,cBoost,Imputed
8101,ENSG00000150459,0.5523531490965428,cBoost,Imputed
4071,ENSG00000116350,0.5414449469795176,cBoost,Imputed
7481,ENSG00000144524,0.5369131775068275,cBoost,Imputed
10015,ENSG00000165271,0.5201365076415595,cBoost,Imputed
14736,ENSG00000225826,0.5190986651164979,cBoost,Imputed
3880,ENSG00000115073,0.5176192643809188,cBoost,Imputed
5868,ENSG00000133104,0.5125505703040303,cBoost,Imputed
8429,ENSG00000153827,0.5099263055779026,cBoost,Imputed
3958,ENSG00000115520,0.5002555456621073,cBoost,Imputed
12472,ENSG00000181045,0.4945289995151437,cBoost,Imputed
9797,ENSG00000164292,0.48541479879630123,cBoost,Imputed
9292,ENSG00000162402,0.4797418375881724,cBoost,Imputed
4552,ENSG00000120915,0.4735240591134221,cBoost,Imputed
8689,ENSG00000156463,0.46631875747466606,cBoost,Imputed
