"","feature","value","dataset","model_class"
"1","ENSG00000012223",-0.000885261348035158,"Imputed","CoxPH"
"2","ENSG00000050555",0.0187885789454748,"Imputed","CoxPH"
"3","ENSG00000057294",-0.00846704920184518,"Imputed","CoxPH"
"4","ENSG00000065534",-0.00169751076838607,"Imputed","CoxPH"
"5","ENSG00000073849",-0.0124043065669254,"Imputed","CoxPH"
"6","ENSG00000078098",0.0119731221842617,"Imputed","CoxPH"
"7","ENSG00000086666",-0.000822532690729401,"Imputed","CoxPH"
"8","ENSG00000086991",0.0213310558606197,"Imputed","CoxPH"
"9","ENSG00000087586",0.0138389136427025,"Imputed","CoxPH"
"10","ENSG00000088325",0.0367315564888931,"Imputed","CoxPH"
"11","ENSG00000099250",0.00532069162919735,"Imputed","CoxPH"
"12","ENSG00000101443",-0.0131423403576161,"Imputed","CoxPH"
"13","ENSG00000101951",-0.0327369876931025,"Imputed","CoxPH"
"14","ENSG00000104738",0.0168663535763331,"Imputed","CoxPH"
"15","ENSG00000105664",0.0152975963789826,"Imputed","CoxPH"
"16","ENSG00000107560",-0.00851623502699632,"Imputed","CoxPH"
"17","ENSG00000107771",-0.0137546647343,"Imputed","CoxPH"
"18","ENSG00000108821",0.0268633136182025,"Imputed","CoxPH"
"19","ENSG00000108924",-0.0294295703559888,"Imputed","CoxPH"
"20","ENSG00000112276",-0.0437952927649534,"Imputed","CoxPH"
"21","ENSG00000112699",-0.031939970928645,"Imputed","CoxPH"
"22","ENSG00000112984",0.00489793207213989,"Imputed","CoxPH"
"23","ENSG00000113448",-0.0162296270807335,"Imputed","CoxPH"
"24","ENSG00000117399",0.00977789472669418,"Imputed","CoxPH"
"25","ENSG00000117419",0.00223974833069402,"Imputed","CoxPH"
"26","ENSG00000117859",-0.00445598574874105,"Imputed","CoxPH"
"27","ENSG00000119681",0.0192796285177746,"Imputed","CoxPH"
"28","ENSG00000121067",-0.00585276601319361,"Imputed","CoxPH"
"29","ENSG00000122641",0.0213813048675463,"Imputed","CoxPH"
"30","ENSG00000134291",0.00750442925712179,"Imputed","CoxPH"
"31","ENSG00000134461",0.00436300922742888,"Imputed","CoxPH"
"32","ENSG00000135318",-0.00379685591657828,"Imputed","CoxPH"
"33","ENSG00000135476",0.000321813873225247,"Imputed","CoxPH"
"34","ENSG00000136100",-0.0204223838401006,"Imputed","CoxPH"
"35","ENSG00000137310",0.000539069451176665,"Imputed","CoxPH"
"36","ENSG00000137507",0.0257319404697127,"Imputed","CoxPH"
"37","ENSG00000137809",0.0222679183237694,"Imputed","CoxPH"
"38","ENSG00000138356",-0.0162266908073899,"Imputed","CoxPH"
"39","ENSG00000141756",0.0132823558635878,"Imputed","CoxPH"
"40","ENSG00000145721",-0.0426354697052268,"Imputed","CoxPH"
"41","ENSG00000146670",0.00409476521279772,"Imputed","CoxPH"
"42","ENSG00000147655",-0.0141768102352223,"Imputed","CoxPH"
"43","ENSG00000148346",-0.00395232057345132,"Imputed","CoxPH"
"44","ENSG00000153162",0.0162855922650362,"Imputed","CoxPH"
"45","ENSG00000154217",-0.00582625976526582,"Imputed","CoxPH"
"46","ENSG00000156463",-0.0548077460071042,"Imputed","CoxPH"
"47","ENSG00000160207",0.0131718123153205,"Imputed","CoxPH"
"48","ENSG00000160781",0.00737763323190882,"Imputed","CoxPH"
"49","ENSG00000162139",0.00160930002091968,"Imputed","CoxPH"
"50","ENSG00000163017",-3.1804409159396e-05,"Imputed","CoxPH"
"51","ENSG00000164292",-0.0170636273590911,"Imputed","CoxPH"
"52","ENSG00000169180",0.0364314114306528,"Imputed","CoxPH"
"53","ENSG00000172500",0.0283068761135769,"Imputed","CoxPH"
"54","ENSG00000172594",-0.0152530102447449,"Imputed","CoxPH"
"55","ENSG00000174371",0.00502169176763678,"Imputed","CoxPH"
"56","ENSG00000175063",0.0310093895459174,"Imputed","CoxPH"
"57","ENSG00000175198",-0.00489501075735261,"Imputed","CoxPH"
"58","ENSG00000175287",-0.000228465265624546,"Imputed","CoxPH"
"59","ENSG00000181544",0.00336743338850264,"Imputed","CoxPH"
"60","ENSG00000182253",-0.0113014952624093,"Imputed","CoxPH"
"61","ENSG00000182983",-0.0230951814689143,"Imputed","CoxPH"
"62","ENSG00000183036",-0.00575259731580516,"Imputed","CoxPH"
"63","ENSG00000183309",0.0385552377486776,"Imputed","CoxPH"
"64","ENSG00000186340",0.00867968655400842,"Imputed","CoxPH"
"65","ENSG00000186871",0.0148954835224895,"Imputed","CoxPH"
"66","ENSG00000196975",-0.00574024622987136,"Imputed","CoxPH"
"67","ENSG00000198542",0.0123598891982231,"Imputed","CoxPH"
"68","ENSG00000099953",0.0183713647644993,"Imputed","CoxPH"
"69","GLEASON_SCORE",0.0951019089013803,"pData_Imputed","CoxPH"
"70","PRE_OPERATIVE_PSA",0.0462493059534315,"pData_Imputed","CoxPH"
"71","ENSG00000039123",-0.000559823169630582,"pData_Imputed","CoxPH"
"72","ENSG00000050555",0.0173548236381868,"pData_Imputed","CoxPH"
"73","ENSG00000057294",-0.00441797243444871,"pData_Imputed","CoxPH"
"74","ENSG00000073849",-0.00735813541585826,"pData_Imputed","CoxPH"
"75","ENSG00000078098",0.00888510558769571,"pData_Imputed","CoxPH"
"76","ENSG00000086666",-0.00218611505173776,"pData_Imputed","CoxPH"
"77","ENSG00000086991",0.0175528775647474,"pData_Imputed","CoxPH"
"78","ENSG00000087586",0.0139871147012783,"pData_Imputed","CoxPH"
"79","ENSG00000088325",0.0330931314821175,"pData_Imputed","CoxPH"
"80","ENSG00000101443",-0.0120631591995745,"pData_Imputed","CoxPH"
"81","ENSG00000101951",-0.0309723208619545,"pData_Imputed","CoxPH"
"82","ENSG00000104738",0.0178786007689985,"pData_Imputed","CoxPH"
"83","ENSG00000105664",0.0161613771930877,"pData_Imputed","CoxPH"
"84","ENSG00000107560",-0.00900015494247334,"pData_Imputed","CoxPH"
"85","ENSG00000107771",-0.0118617297695392,"pData_Imputed","CoxPH"
"86","ENSG00000108821",0.0201484613177772,"pData_Imputed","CoxPH"
"87","ENSG00000108924",-0.0268455642590808,"pData_Imputed","CoxPH"
"88","ENSG00000112276",-0.0417566567473248,"pData_Imputed","CoxPH"
"89","ENSG00000112699",-0.0260416359658673,"pData_Imputed","CoxPH"
"90","ENSG00000112984",0.00368779763335964,"pData_Imputed","CoxPH"
"91","ENSG00000113448",-0.0160035997444294,"pData_Imputed","CoxPH"
"92","ENSG00000117399",0.00809780924772129,"pData_Imputed","CoxPH"
"93","ENSG00000117419",0.000390942146221707,"pData_Imputed","CoxPH"
"94","ENSG00000117859",-0.00264148262589132,"pData_Imputed","CoxPH"
"95","ENSG00000119681",0.0174712165869545,"pData_Imputed","CoxPH"
"96","ENSG00000121067",-0.00585260269735089,"pData_Imputed","CoxPH"
"97","ENSG00000122641",0.0137994150776705,"pData_Imputed","CoxPH"
"98","ENSG00000134291",0.0038793503339495,"pData_Imputed","CoxPH"
"99","ENSG00000134461",0.00188759231813023,"pData_Imputed","CoxPH"
"100","ENSG00000135318",-0.00251774931767573,"pData_Imputed","CoxPH"
"101","ENSG00000135476",0.000550239394617375,"pData_Imputed","CoxPH"
"102","ENSG00000136100",-0.0162748506692006,"pData_Imputed","CoxPH"
"103","ENSG00000137507",0.0234863887111188,"pData_Imputed","CoxPH"
"104","ENSG00000137809",0.0171105061879465,"pData_Imputed","CoxPH"
"105","ENSG00000138356",-0.0181791192038839,"pData_Imputed","CoxPH"
"106","ENSG00000141756",0.0113005269913598,"pData_Imputed","CoxPH"
"107","ENSG00000145721",-0.036611884815811,"pData_Imputed","CoxPH"
"108","ENSG00000146670",0.00515681612446727,"pData_Imputed","CoxPH"
"109","ENSG00000147655",-0.0134463160570023,"pData_Imputed","CoxPH"
"110","ENSG00000148346",-0.000187440353048144,"pData_Imputed","CoxPH"
"111","ENSG00000153162",0.0165934452900478,"pData_Imputed","CoxPH"
"112","ENSG00000154217",-0.00362907713841507,"pData_Imputed","CoxPH"
"113","ENSG00000156463",-0.04884752798435,"pData_Imputed","CoxPH"
"114","ENSG00000160207",0.0116257394278833,"pData_Imputed","CoxPH"
"115","ENSG00000160781",0.00488659625370914,"pData_Imputed","CoxPH"
"116","ENSG00000164292",-0.0139595337808733,"pData_Imputed","CoxPH"
"117","ENSG00000169180",0.0294147943029589,"pData_Imputed","CoxPH"
"118","ENSG00000172500",0.0291081765879227,"pData_Imputed","CoxPH"
"119","ENSG00000172594",-0.0115829603109686,"pData_Imputed","CoxPH"
"120","ENSG00000174371",0.00442107819630117,"pData_Imputed","CoxPH"
"121","ENSG00000175063",0.0298911918030363,"pData_Imputed","CoxPH"
"122","ENSG00000175198",-0.000187103687171704,"pData_Imputed","CoxPH"
"123","ENSG00000181444",0.00172250863146957,"pData_Imputed","CoxPH"
"124","ENSG00000181544",0.00199513612571077,"pData_Imputed","CoxPH"
"125","ENSG00000182253",-0.00401071492911964,"pData_Imputed","CoxPH"
"126","ENSG00000182983",-0.0185437555708954,"pData_Imputed","CoxPH"
"127","ENSG00000183036",-0.00132336567608361,"pData_Imputed","CoxPH"
"128","ENSG00000183309",0.0339089740247403,"pData_Imputed","CoxPH"
"129","ENSG00000184162",0.00198976496486789,"pData_Imputed","CoxPH"
"130","ENSG00000186340",0.00476929219950876,"pData_Imputed","CoxPH"
"131","ENSG00000186871",0.0141478923200815,"pData_Imputed","CoxPH"
"132","ENSG00000196975",-0.00482540927155376,"pData_Imputed","CoxPH"
"133","ENSG00000198542",0.0107476779524185,"pData_Imputed","CoxPH"
"134","ENSG00000099953",0.0192883132078663,"pData_Imputed","CoxPH"
"135","ENSG00000012223",-0.0035895065360697,"Intersection","CoxPH"
"136","ENSG00000050555",0.0236897820085088,"Intersection","CoxPH"
"137","ENSG00000057294",-0.0106199455481122,"Intersection","CoxPH"
"138","ENSG00000065534",-0.00149287030214708,"Intersection","CoxPH"
"139","ENSG00000073849",-0.0125294748436744,"Intersection","CoxPH"
"140","ENSG00000078098",0.014371619855496,"Intersection","CoxPH"
"141","ENSG00000086666",-0.00501853225302285,"Intersection","CoxPH"
"142","ENSG00000086991",0.0224399808040403,"Intersection","CoxPH"
"143","ENSG00000087586",0.014237838854157,"Intersection","CoxPH"
"144","ENSG00000088325",0.0358961550885511,"Intersection","CoxPH"
"145","ENSG00000099250",0.00628611996813532,"Intersection","CoxPH"
"146","ENSG00000101443",-0.0143717750816089,"Intersection","CoxPH"
"147","ENSG00000101951",-0.0330009592126564,"Intersection","CoxPH"
"148","ENSG00000104738",0.0187192863448347,"Intersection","CoxPH"
"149","ENSG00000105664",0.0152900327917137,"Intersection","CoxPH"
"150","ENSG00000107560",-0.0119639783168876,"Intersection","CoxPH"
"151","ENSG00000108821",0.0282315752293319,"Intersection","CoxPH"
"152","ENSG00000108924",-0.0327190756009196,"Intersection","CoxPH"
"153","ENSG00000112276",-0.0475466855981059,"Intersection","CoxPH"
"154","ENSG00000112699",-0.0340540249845413,"Intersection","CoxPH"
"155","ENSG00000112984",0.00389253187187857,"Intersection","CoxPH"
"156","ENSG00000113448",-0.0143525435298553,"Intersection","CoxPH"
"157","ENSG00000117399",0.00969965919420187,"Intersection","CoxPH"
"158","ENSG00000117419",0.00446654351882954,"Intersection","CoxPH"
"159","ENSG00000117859",-0.00606061592347246,"Intersection","CoxPH"
"160","ENSG00000119681",0.0200766233859197,"Intersection","CoxPH"
"161","ENSG00000121067",-0.00814502960418769,"Intersection","CoxPH"
"162","ENSG00000122641",0.0219251969803099,"Intersection","CoxPH"
"163","ENSG00000125398",-0.00310694018048847,"Intersection","CoxPH"
"164","ENSG00000125450",0.000775616782570307,"Intersection","CoxPH"
"165","ENSG00000134291",0.0096852479847648,"Intersection","CoxPH"
"166","ENSG00000134461",0.0056784278303546,"Intersection","CoxPH"
"167","ENSG00000134709",-0.00164418074264709,"Intersection","CoxPH"
"168","ENSG00000135318",-0.00638032854523632,"Intersection","CoxPH"
"169","ENSG00000135476",0.00368671829781569,"Intersection","CoxPH"
"170","ENSG00000136100",-0.0214885550454193,"Intersection","CoxPH"
"171","ENSG00000136280",0.000649406262245778,"Intersection","CoxPH"
"172","ENSG00000137310",0.00259934679921586,"Intersection","CoxPH"
"173","ENSG00000137507",0.0291893071157828,"Intersection","CoxPH"
"174","ENSG00000137809",0.022137929459494,"Intersection","CoxPH"
"175","ENSG00000138356",-0.0168521092198622,"Intersection","CoxPH"
"176","ENSG00000141756",0.0158215022639273,"Intersection","CoxPH"
"177","ENSG00000144843",-0.00128846361683669,"Intersection","CoxPH"
"178","ENSG00000145721",-0.0433763890985024,"Intersection","CoxPH"
"179","ENSG00000146670",0.00598208828085211,"Intersection","CoxPH"
"180","ENSG00000147655",-0.0160643277709718,"Intersection","CoxPH"
"181","ENSG00000148346",-0.00503310041606731,"Intersection","CoxPH"
"182","ENSG00000153162",0.0170495187649186,"Intersection","CoxPH"
"183","ENSG00000154217",-0.00731177217233537,"Intersection","CoxPH"
"184","ENSG00000156463",-0.0547199884500644,"Intersection","CoxPH"
"185","ENSG00000159212",-0.00144057522022481,"Intersection","CoxPH"
"186","ENSG00000160207",0.0160291017776192,"Intersection","CoxPH"
"187","ENSG00000160781",0.0109877397968182,"Intersection","CoxPH"
"188","ENSG00000162139",0.00563732404141176,"Intersection","CoxPH"
"189","ENSG00000164292",-0.0180202673952751,"Intersection","CoxPH"
"190","ENSG00000169180",0.0376733812649299,"Intersection","CoxPH"
"191","ENSG00000172500",0.031262634758833,"Intersection","CoxPH"
"192","ENSG00000172594",-0.0170461034759694,"Intersection","CoxPH"
"193","ENSG00000174371",0.00480090847038448,"Intersection","CoxPH"
"194","ENSG00000175063",0.030815107682351,"Intersection","CoxPH"
"195","ENSG00000175198",-0.00574171013364528,"Intersection","CoxPH"
"196","ENSG00000175287",-0.000447164553614071,"Intersection","CoxPH"
"197","ENSG00000178075",-0.00228739381380842,"Intersection","CoxPH"
"198","ENSG00000181444",0.00142245243466121,"Intersection","CoxPH"
"199","ENSG00000181544",0.00622901224009282,"Intersection","CoxPH"
"200","ENSG00000182253",-0.0119601097207919,"Intersection","CoxPH"
"201","ENSG00000182983",-0.0254122945728775,"Intersection","CoxPH"
"202","ENSG00000183036",-0.00625939833525151,"Intersection","CoxPH"
"203","ENSG00000183309",0.0400616547550004,"Intersection","CoxPH"
"204","ENSG00000183770",0.00120239111779329,"Intersection","CoxPH"
"205","ENSG00000184162",0.000880484118346564,"Intersection","CoxPH"
"206","ENSG00000186340",0.0104569186043207,"Intersection","CoxPH"
"207","ENSG00000186871",0.0167465389372945,"Intersection","CoxPH"
"208","ENSG00000196975",-0.00651314525389383,"Intersection","CoxPH"
"209","ENSG00000198542",0.0118240773158671,"Intersection","CoxPH"
"210","ENSG00000198648",-0.00352765005968536,"Intersection","CoxPH"
"211","GLEASON_SCORE",0.0968660535432065,"pData_Intersection","CoxPH"
"212","PRE_OPERATIVE_PSA",0.0509255796777491,"pData_Intersection","CoxPH"
"213","ENSG00000012223",-0.00120599942856255,"pData_Intersection","CoxPH"
"214","ENSG00000050555",0.0220213122735423,"pData_Intersection","CoxPH"
"215","ENSG00000057294",-0.006337427351098,"pData_Intersection","CoxPH"
"216","ENSG00000073849",-0.0084996914653725,"pData_Intersection","CoxPH"
"217","ENSG00000078098",0.0110864106532659,"pData_Intersection","CoxPH"
"218","ENSG00000086666",-0.00670989604300829,"pData_Intersection","CoxPH"
"219","ENSG00000086991",0.0183592217998398,"pData_Intersection","CoxPH"
"220","ENSG00000087586",0.0145405427146225,"pData_Intersection","CoxPH"
"221","ENSG00000088325",0.0317342347833699,"pData_Intersection","CoxPH"
