"","feature","value","dataset","model_class"
"1","GLEASON_SCORE",0.16549900349093,"block_data","prioLasso"
"2","ENSG00000088325",0.0511968055461239,"block_data","prioLasso"
"3","ENSG00000101951",-0.0202938868267943,"block_data","prioLasso"
"4","ENSG00000105664",0.0508454179841666,"block_data","prioLasso"
"5","ENSG00000108924",-0.00653731675232126,"block_data","prioLasso"
"6","ENSG00000112276",-0.0126779468392635,"block_data","prioLasso"
"7","ENSG00000113448",-0.0193188012383612,"block_data","prioLasso"
"8","ENSG00000137809",0.0130674417835722,"block_data","prioLasso"
"9","ENSG00000138356",-0.00194433646977099,"block_data","prioLasso"
"10","ENSG00000145721",-0.0252282586937554,"block_data","prioLasso"
"11","ENSG00000156463",-0.048797756180943,"block_data","prioLasso"
"12","ENSG00000175063",0.052916987919888,"block_data","prioLasso"
"13","ENSG00000101945",0.0199986865686428,"block_data","prioLasso"
"14","ENSG00000125734",-0.0150707490661596,"block_data","prioLasso"
"15","ENSG00000128918",-0.0553245832457349,"block_data","prioLasso"
"16","ENSG00000133112",-0.024283415160956,"block_data","prioLasso"
"17","ENSG00000141052",-0.0359936089393341,"block_data","prioLasso"
"18","ENSG00000146374",-0.0125593352763073,"block_data","prioLasso"
"19","ENSG00000164283",0.0194639275257207,"block_data","prioLasso"
"20","ENSG00000179772",0.0573147371611291,"block_data","prioLasso"
"21","ENSG00000196136",-0.0130258991887323,"block_data","prioLasso"
"22","ENSG00000197343",-0.0199476426778691,"block_data","prioLasso"
