"","feature","value","dataset","model_class"
"1","ENSG00000002016",1.27417751840664e-05,"Intersection","RSF"
"2","ENSG00000004468",0.000233599211708846,"Intersection","RSF"
"3","ENSG00000004478",0.00055639084970649,"Intersection","RSF"
"4","ENSG00000004487",0.000131665010235871,"Intersection","RSF"
"5","ENSG00000006016",6.3708875920554e-05,"Intersection","RSF"
"6","ENSG00000006282",0.000348275188365887,"Intersection","RSF"
"7","ENSG00000006695",1.27417751840664e-05,"Intersection","RSF"
"8","ENSG00000007080",0.000191126627761773,"Intersection","RSF"
"9","ENSG00000007168",0.000913160554861792,"Intersection","RSF"
"10","ENSG00000007171",0.000399242289102375,"Intersection","RSF"
"11","ENSG00000007237",1.27417751840664e-05,"Intersection","RSF"
"12","ENSG00000007516",8.06979094993832e-05,"Intersection","RSF"
"13","ENSG00000008438",0.000271824537261156,"Intersection","RSF"
"14","ENSG00000010404",0.00018687936936701,"Intersection","RSF"
"15","ENSG00000013297",0.00048418745699641,"Intersection","RSF"
"16","ENSG00000013364",0.000101934201472864,"Intersection","RSF"
"17","ENSG00000013588",0.000237846470103498,"Intersection","RSF"
"18","ENSG00000014138",0.000144406785419937,"Intersection","RSF"
"19","ENSG00000015285",8.49451678940349e-05,"Intersection","RSF"
"20","ENSG00000016391",0.00110003992422891,"Intersection","RSF"
"21","ENSG00000020256",0.000263330020471741,"Intersection","RSF"
"22","ENSG00000022976",8.4945167894146e-06,"Intersection","RSF"
"23","ENSG00000023902",5.94616175257912e-05,"Intersection","RSF"
"24","ENSG00000024862",8.49451678940349e-05,"Intersection","RSF"
"25","ENSG00000026559",0.000114675976657042,"Intersection","RSF"
"26","ENSG00000027869",0.000246340986892912,"Intersection","RSF"
"27","ENSG00000029153",0.00055639084970649,"Intersection","RSF"
"28","ENSG00000036530",8.4945167894146e-06,"Intersection","RSF"
"29","ENSG00000036828",9.76869430782124e-05,"Intersection","RSF"
"30","ENSG00000037280",5.94616175257912e-05,"Intersection","RSF"
"31","ENSG00000038002",0.00024209372849826,"Intersection","RSF"
"32","ENSG00000042304",8.4945167894146e-06,"Intersection","RSF"
"33","ENSG00000042753",0.000123170493446456,"Intersection","RSF"
"34","ENSG00000046653",0.000131665010235871,"Intersection","RSF"
"35","ENSG00000048740",2.54835503682438e-05,"Intersection","RSF"
"36","ENSG00000051128",3.82253255523102e-05,"Intersection","RSF"
"37","ENSG00000056487",9.76869430782124e-05,"Intersection","RSF"
"38","ENSG00000056558",2.97308087628956e-05,"Intersection","RSF"
"39","ENSG00000057294",0.00191976079440714,"Intersection","RSF"
"40","ENSG00000057757",0.000131665010235871,"Intersection","RSF"
"41","ENSG00000058453",6.79561343152058e-05,"Intersection","RSF"
"42","ENSG00000059122",4.2472583946962e-05,"Intersection","RSF"
"43","ENSG00000060982",1.27417751840664e-05,"Intersection","RSF"
"44","ENSG00000061337",4.2472583946962e-05,"Intersection","RSF"
"45","ENSG00000061455",0.000237846470103498,"Intersection","RSF"
"46","ENSG00000063761",0.000178384852577596,"Intersection","RSF"
"47","ENSG00000063854",0.000505423748970002,"Intersection","RSF"
"48","ENSG00000064195",0.000203868402945839,"Intersection","RSF"
"49","ENSG00000064545",0.000123170493446456,"Intersection","RSF"
"50","ENSG00000065000",7.22033927099686e-05,"Intersection","RSF"
"51","ENSG00000065150",8.49451678940349e-05,"Intersection","RSF"
"52","ENSG00000065491",0.000951385880414102,"Intersection","RSF"
"53","ENSG00000065615",0.000144406785419937,"Intersection","RSF"
"54","ENSG00000065618",0.000110428718262279,"Intersection","RSF"
"55","ENSG00000066735",4.2472583946962e-05,"Intersection","RSF"
"56","ENSG00000067167",0.000114675976657042,"Intersection","RSF"
"57","ENSG00000067955",0.000157148560604115,"Intersection","RSF"
"58","ENSG00000068654",1.69890335788292e-05,"Intersection","RSF"
"59","ENSG00000069535",0.000327038896392295,"Intersection","RSF"
"60","ENSG00000069869",0.000318544379602881,"Intersection","RSF"
"61","ENSG00000070182",9.34396846834495e-05,"Intersection","RSF"
"62","ENSG00000070214",0.000237846470103498,"Intersection","RSF"
"63","ENSG00000070882",0.000658325051179465,"Intersection","RSF"
"64","ENSG00000070915",0.000339780671576473,"Intersection","RSF"
"65","ENSG00000071537",4.24725839465179e-06,"Intersection","RSF"
"66","ENSG00000072210",0.000424725839470619,"Intersection","RSF"
"67","ENSG00000072571",0.000683808601547709,"Intersection","RSF"
"68","ENSG00000073331",0.000144406785419937,"Intersection","RSF"
"69","ENSG00000073861",3.82253255523102e-05,"Intersection","RSF"
"70","ENSG00000074181",0.000229351953314083,"Intersection","RSF"
"71","ENSG00000074276",3.39780671575474e-05,"Intersection","RSF"
"72","ENSG00000075388",0.000501176490575239,"Intersection","RSF"
"73","ENSG00000075624",0.000101934201472864,"Intersection","RSF"
