,model_class,model,test_cohort,ci,dataset
0,DeepSurv,deepsurv_autoencoder_final_cv_exprs_only,Atlanta_2014_Long,0.6210982658959537,AutoEncoder
1,DeepSurv,deepsurv_autoencoder_final_cv_exprs_only,Belfast_2018_Jain,0.43495771244462345,AutoEncoder
2,DeepSurv,deepsurv_autoencoder_final_cv_exprs_only,CPC_GENE_2017_Fraser,0.5207900207900208,AutoEncoder
3,DeepSurv,deepsurv_autoencoder_final_cv_exprs_only,CPGEA_2020_Li,0.5001604106512673,AutoEncoder
4,DeepSurv,deepsurv_autoencoder_final_cv_exprs_only,CamCap_2016_Ross_Adams,0.7550744248985115,AutoEncoder
5,DeepSurv,deepsurv_autoencoder_final_cv_exprs_only,CancerMap_2017_Luca,0.682751266328979,AutoEncoder
6,DeepSurv,deepsurv_autoencoder_final_cv_exprs_only,DKFZ_2018_Gerhauser,0.7054908485856906,AutoEncoder
7,DeepSurv,deepsurv_autoencoder_final_cv_exprs_only,MSKCC_2010_Taylor,0.6680900621118012,AutoEncoder
8,DeepSurv,deepsurv_autoencoder_final_cv_exprs_only,Stockholm_2016_Ross_Adams,0.6803914951063111,AutoEncoder
0,DeepSurv,deepsurv_autoencoder_pData,Atlanta_2014_Long,0.47398843930635837,pData_AutoEncoder
1,DeepSurv,deepsurv_autoencoder_pData,Belfast_2018_Jain,0.4976339105920258,pData_AutoEncoder
2,DeepSurv,deepsurv_autoencoder_pData,CPC_GENE_2017_Fraser,0.4864864864864865,pData_AutoEncoder
3,DeepSurv,deepsurv_autoencoder_pData,CPGEA_2020_Li,0.5856592877767084,pData_AutoEncoder
4,DeepSurv,deepsurv_autoencoder_pData,CamCap_2016_Ross_Adams,0.5916779431664412,pData_AutoEncoder
5,DeepSurv,deepsurv_autoencoder_pData,CancerMap_2017_Luca,0.588376432951213,pData_AutoEncoder
6,DeepSurv,deepsurv_autoencoder_pData,DKFZ_2018_Gerhauser,0.5998336106489185,pData_AutoEncoder
7,DeepSurv,deepsurv_autoencoder_pData,MSKCC_2010_Taylor,0.5547360248447205,pData_AutoEncoder
8,DeepSurv,deepsurv_autoencoder_pData,Stockholm_2016_Ross_Adams,0.4785690178872764,pData_AutoEncoder
0,DeepSurv,result_intersection_cv_common_genes_and_pData,Atlanta_2014_Long,0.6534682080924855,pData_Intersection_Imputed
1,DeepSurv,result_intersection_cv_common_genes_and_pData,Belfast_2018_Jain,0.5993757551349175,pData_Intersection_Imputed
2,DeepSurv,result_intersection_cv_common_genes_and_pData,CPC_GENE_2017_Fraser,0.7079002079002079,pData_Intersection_Imputed
3,DeepSurv,result_intersection_cv_common_genes_and_pData,CPGEA_2020_Li,0.6384343920436317,pData_Intersection_Imputed
