"","test_cohort","ci","model","dataset","model_class"
"1","CamCap_2016_Ross_Adams",0.811020960108181,"rsf_autoencoder_paper","AutoEncoder","RSF"
"2","Atlanta_2014_Long",0.645022883295195,"rsf_autoencoder_paper","AutoEncoder","RSF"
"3","Stockholm_2016_Ross_Adams",0.639123102866779,"rsf_autoencoder_paper","AutoEncoder","RSF"
"4","CPC_GENE_2017_Fraser",0.45010395010395,"rsf_autoencoder_paper","AutoEncoder","RSF"
"5","DKFZ_2018_Gerhauser",0.796173044925125,"rsf_autoencoder_paper","AutoEncoder","RSF"
"6","CPGEA_2020_Li",0.667302192564347,"rsf_autoencoder_paper","AutoEncoder","RSF"
"7","CancerMap_2017_Luca",0.691266259623042,"rsf_autoencoder_paper","AutoEncoder","RSF"
"8","Belfast_2018_Jain",0.610831740923263,"rsf_autoencoder_paper","AutoEncoder","RSF"
"9","MSKCC_2010_Taylor",0.632763975155279,"rsf_autoencoder_paper","AutoEncoder","RSF"
"10","DKFZ_2018_Gerhauser",0.830282861896839,"rsf_autoencoder_pData_paper","pData_AutoEncoder","RSF"
"11","MSKCC_2010_Taylor",0.702251552795031,"rsf_autoencoder_pData_paper","pData_AutoEncoder","RSF"
"12","CPC_GENE_2017_Fraser",0.577962577962578,"rsf_autoencoder_pData_paper","pData_AutoEncoder","RSF"
"13","Belfast_2018_Jain",0.600573267625465,"rsf_autoencoder_pData_paper","pData_AutoEncoder","RSF"
"14","CPGEA_2020_Li",0.67302192564347,"rsf_autoencoder_pData_paper","pData_AutoEncoder","RSF"
"15","Stockholm_2016_Ross_Adams",0.670151770657673,"rsf_autoencoder_pData_paper","pData_AutoEncoder","RSF"
"16","CamCap_2016_Ross_Adams",0.827248140635565,"rsf_autoencoder_pData_paper","pData_AutoEncoder","RSF"
"17","Atlanta_2014_Long",0.675343249427918,"rsf_autoencoder_pData_paper","pData_AutoEncoder","RSF"
"18","CancerMap_2017_Luca",0.744624369524821,"rsf_autoencoder_pData_paper","pData_AutoEncoder","RSF"
"19","DKFZ_2018_Gerhauser",0.84026622296173,"rsf_exprs_imp","Imputed","RSF"
"20","Belfast_2018_Jain",0.565272050688927,"rsf_exprs_imp","Imputed","RSF"
"21","MSKCC_2010_Taylor",0.641304347826087,"rsf_exprs_imp","Imputed","RSF"
"22","CPGEA_2020_Li",0.662535748331744,"rsf_exprs_imp","Imputed","RSF"
"23","CamCap_2016_Ross_Adams",0.809668695064233,"rsf_exprs_imp","Imputed","RSF"
"24","CancerMap_2017_Luca",0.6740111494558,"rsf_exprs_imp","Imputed","RSF"
"25","Atlanta_2014_Long",0.590961098398169,"rsf_exprs_imp","Imputed","RSF"
"26","CPC_GENE_2017_Fraser",0.518711018711019,"rsf_exprs_imp","Imputed","RSF"
"27","Stockholm_2016_Ross_Adams",0.719392917369309,"rsf_exprs_imp","Imputed","RSF"
"28","CancerMap_2017_Luca",0.677727634722591,"rsf_exprs_imp_pData","pData_Imputed","RSF"
"29","Atlanta_2014_Long",0.576086956521739,"rsf_exprs_imp_pData","pData_Imputed","RSF"
"30","CPC_GENE_2017_Fraser",0.508316008316008,"rsf_exprs_imp_pData","pData_Imputed","RSF"
"31","CamCap_2016_Ross_Adams",0.815077755240027,"rsf_exprs_imp_pData","pData_Imputed","RSF"
"32","DKFZ_2018_Gerhauser",0.816139767054908,"rsf_exprs_imp_pData","pData_Imputed","RSF"
"33","CPGEA_2020_Li",0.69272322847156,"rsf_exprs_imp_pData","pData_Imputed","RSF"
"34","MSKCC_2010_Taylor",0.62694099378882,"rsf_exprs_imp_pData","pData_Imputed","RSF"
"35","Stockholm_2016_Ross_Adams",0.706239460370995,"rsf_exprs_imp_pData","pData_Imputed","RSF"
"36","Belfast_2018_Jain",0.582168359650005,"rsf_exprs_imp_pData","pData_Imputed","RSF"
"37","DKFZ_2018_Gerhauser",0.821963394342762,"rsf_exprs_inter","Intersection","RSF"
"38","Stockholm_2016_Ross_Adams",0.702529510961214,"rsf_exprs_inter","Intersection","RSF"
"39","CancerMap_2017_Luca",0.67640031855588,"rsf_exprs_inter","Intersection","RSF"
"40","CamCap_2016_Ross_Adams",0.827924273157539,"rsf_exprs_inter","Intersection","RSF"
"41","MSKCC_2010_Taylor",0.669642857142857,"rsf_exprs_inter","Intersection","RSF"
"42","Atlanta_2014_Long",0.582093821510298,"rsf_exprs_inter","Intersection","RSF"
"43","Belfast_2018_Jain",0.61666499044554,"rsf_exprs_inter","Intersection","RSF"
"44","CPGEA_2020_Li",0.667937718462027,"rsf_exprs_inter","Intersection","RSF"
"45","CPC_GENE_2017_Fraser",0.550935550935551,"rsf_exprs_inter","Intersection","RSF"
"46","CPGEA_2020_Li",0.670797585001589,"rsf_exprs_inter_pData","pData_Intersection","RSF"
"47","MSKCC_2010_Taylor",0.647903726708075,"rsf_exprs_inter_pData","pData_Intersection","RSF"
"48","Atlanta_2014_Long",0.593535469107552,"rsf_exprs_inter_pData","pData_Intersection","RSF"
"49","Stockholm_2016_Ross_Adams",0.669814502529511,"rsf_exprs_inter_pData","pData_Intersection","RSF"
"50","CPC_GENE_2017_Fraser",0.537422037422037,"rsf_exprs_inter_pData","pData_Intersection","RSF"
"51","DKFZ_2018_Gerhauser",0.837770382695508,"rsf_exprs_inter_pData","pData_Intersection","RSF"
"52","Belfast_2018_Jain",0.581363773509001,"rsf_exprs_inter_pData","pData_Intersection","RSF"
"53","CamCap_2016_Ross_Adams",0.806288032454361,"rsf_exprs_inter_pData","pData_Intersection","RSF"
"54","CancerMap_2017_Luca",0.660207061322007,"rsf_exprs_inter_pData","pData_Intersection","RSF"
"55","CPC_GENE_2017_Fraser",0.523908523908524,"rsf_pData","pData","RSF"
"56","Stockholm_2016_Ross_Adams",0.706408094435076,"rsf_pData","pData","RSF"
"57","CPGEA_2020_Li",0.75071496663489,"rsf_pData","pData","RSF"
"58","CancerMap_2017_Luca",0.651977701088399,"rsf_pData","pData","RSF"
"59","Belfast_2018_Jain",0.549280901136478,"rsf_pData","pData","RSF"
"60","CamCap_2016_Ross_Adams",0.707572684246112,"rsf_pData","pData","RSF"
"61","MSKCC_2010_Taylor",0.777173913043478,"rsf_pData","pData","RSF"
"62","DKFZ_2018_Gerhauser",0.748336106489185,"rsf_pData","pData","RSF"
"63","Atlanta_2014_Long",0.674485125858124,"rsf_pData","pData","RSF"
